===== Fri Sep 25 19:43:35 -03 2026 - Derrubando distconc-guilherme-marcela-consumer-1 com docker stop
distconc-guilherme-marcela-consumer-1
Aguardando 10 s para observar o rebalanço...

===== Eventos de rebalanço desde a falha
consumer-4   | 2026-09-25T22:43:47.131757426Z [REBALANÇO] consumer-e70c175a47fd recebeu as partições []
consumer-5   | 2026-09-25T22:43:38.028323651Z [REBALANÇO] consumer-85c696eeb744 perdeu as partições []
consumer-5   | 2026-09-25T22:43:38.072851522Z [REBALANÇO] consumer-85c696eeb744 recebeu as partições []
consumer-5   | 2026-09-25T22:43:47.079340424Z [REBALANÇO] consumer-85c696eeb744 perdeu as partições []
consumer-5   | 2026-09-25T22:43:47.131758821Z [REBALANÇO] consumer-85c696eeb744 recebeu as partições []
consumer-14  | 2026-09-25T22:43:38.010247509Z [REBALANÇO] consumer-b71abb022b9d perdeu as partições [1]
consumer-14  | 2026-09-25T22:43:38.074158333Z [REBALANÇO] consumer-b71abb022b9d recebeu as partições [1]
consumer-14  | 2026-09-25T22:43:47.084143190Z [REBALANÇO] consumer-b71abb022b9d perdeu as partições [1]
consumer-14  | 2026-09-25T22:43:47.132495651Z [REBALANÇO] consumer-b71abb022b9d recebeu as partições [1]
consumer-21  | 2026-09-25T22:43:38.025557087Z [REBALANÇO] consumer-acac9830627d perdeu as partições []
consumer-21  | 2026-09-25T22:43:38.075803251Z [REBALANÇO] consumer-acac9830627d recebeu as partições []
consumer-21  | 2026-09-25T22:43:47.091978096Z [REBALANÇO] consumer-acac9830627d perdeu as partições []
consumer-21  | 2026-09-25T22:43:47.133368337Z [REBALANÇO] consumer-acac9830627d recebeu as partições []
consumer-25  | 2026-09-25T22:43:38.040503959Z [REBALANÇO] consumer-ea12c48acd50 perdeu as partições [4]
consumer-25  | 2026-09-25T22:43:38.074846905Z [REBALANÇO] consumer-ea12c48acd50 recebeu as partições [4]
consumer-25  | 2026-09-25T22:43:47.087846367Z [REBALANÇO] consumer-ea12c48acd50 perdeu as partições [4]
consumer-25  | 2026-09-25T22:43:47.134126545Z [REBALANÇO] consumer-ea12c48acd50 recebeu as partições [5]
consumer-11  | 2026-09-25T22:43:38.030604056Z [REBALANÇO] consumer-48342406b13f perdeu as partições []
consumer-11  | 2026-09-25T22:43:38.072778026Z [REBALANÇO] consumer-48342406b13f recebeu as partições []
consumer-11  | 2026-09-25T22:43:47.082841235Z [REBALANÇO] consumer-48342406b13f perdeu as partições []
consumer-11  | 2026-09-25T22:43:47.130715629Z [REBALANÇO] consumer-48342406b13f recebeu as partições []
consumer-12  | 2026-09-25T22:43:38.048686720Z [REBALANÇO] consumer-a7ce7106f1ee perdeu as partições [2]
consumer-12  | 2026-09-25T22:43:38.074128406Z [REBALANÇO] consumer-a7ce7106f1ee recebeu as partições [2]
consumer-12  | 2026-09-25T22:43:47.083462160Z [REBALANÇO] consumer-a7ce7106f1ee perdeu as partições [2]
consumer-12  | 2026-09-25T22:43:47.135979106Z [REBALANÇO] consumer-a7ce7106f1ee recebeu as partições [3]
consumer-24  | 2026-09-25T22:43:38.037702542Z [REBALANÇO] consumer-24a4a1b547f6 perdeu as partições []
consumer-24  | 2026-09-25T22:43:38.072783870Z [REBALANÇO] consumer-24a4a1b547f6 recebeu as partições []
consumer-24  | 2026-09-25T22:43:47.089297532Z [REBALANÇO] consumer-24a4a1b547f6 perdeu as partições []
consumer-24  | 2026-09-25T22:43:47.130775945Z [REBALANÇO] consumer-24a4a1b547f6 recebeu as partições []
consumer-7   | 2026-09-25T22:43:38.015938672Z [REBALANÇO] consumer-8835df5fa414 perdeu as partições []
consumer-7   | 2026-09-25T22:43:38.075512251Z [REBALANÇO] consumer-8835df5fa414 recebeu as partições []
consumer-7   | 2026-09-25T22:43:47.081959800Z [REBALANÇO] consumer-8835df5fa414 perdeu as partições []
consumer-7   | 2026-09-25T22:43:47.134131447Z [REBALANÇO] consumer-8835df5fa414 recebeu as partições []
consumer-19  | 2026-09-25T22:43:38.015492991Z [REBALANÇO] consumer-66b6137b442c perdeu as partições [0]
consumer-19  | 2026-09-25T22:43:38.074456921Z [REBALANÇO] consumer-66b6137b442c recebeu as partições [0]
consumer-19  | 2026-09-25T22:43:47.082091153Z [REBALANÇO] consumer-66b6137b442c perdeu as partições [0]
