kafka2  | 2026-09-25T22:30:01.589399659Z [2026-09-25 22:30:01,588] INFO [ExpirationReaper-2-AlterAcls]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka2  | 2026-09-25T22:30:01.618958710Z [2026-09-25 22:30:01,618] INFO [ControllerServer id=2] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.619421485Z [2026-09-25 22:30:01,619] INFO [ControllerServer id=2] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.619613695Z [2026-09-25 22:30:01,619] INFO [MetadataLoader id=2] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka2  | 2026-09-25T22:30:01.620521675Z [2026-09-25 22:30:01,620] INFO [SocketServer listenerType=CONTROLLER, nodeId=2] Enabling request processing. (kafka.network.SocketServer)
kafka2  | 2026-09-25T22:30:01.630223888Z [2026-09-25 22:30:01,629] INFO Awaiting socket connections on kafka2:9093. (kafka.network.DataPlaneAcceptor)
kafka2  | 2026-09-25T22:30:01.652703053Z [2026-09-25 22:30:01,652] INFO [controller-2-to-controller-registration-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka2  | 2026-09-25T22:30:01.653331217Z [2026-09-25 22:30:01,652] INFO [ControllerServer id=2] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.653351676Z [2026-09-25 22:30:01,653] INFO [ControllerServer id=2] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.653353960Z [2026-09-25 22:30:01,653] INFO [ControllerRegistrationManager id=2 incarnation=9ezpG7YKRz6jCuKuKcZJUg] initialized channel manager. (kafka.server.ControllerRegistrationManager)
kafka2  | 2026-09-25T22:30:01.653510059Z [2026-09-25 22:30:01,653] INFO [ControllerServer id=2] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.653523958Z [2026-09-25 22:30:01,653] INFO [ControllerServer id=2] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.653963107Z [2026-09-25 22:30:01,653] INFO [ControllerRegistrationManager id=2 incarnation=9ezpG7YKRz6jCuKuKcZJUg] maybeSendControllerRegistration: cannot register yet because the metadata version is still 3.0-IV1, which does not support KIP-919 controller registration. (kafka.server.ControllerRegistrationManager)
kafka2  | 2026-09-25T22:30:01.657860151Z [2026-09-25 22:30:01,657] INFO [BrokerServer id=2] Transition from SHUTDOWN to STARTING (kafka.server.BrokerServer)
kafka2  | 2026-09-25T22:30:01.659384361Z [2026-09-25 22:30:01,659] INFO [BrokerServer id=2] Starting broker (kafka.server.BrokerServer)
kafka2  | 2026-09-25T22:30:01.673440432Z [2026-09-25 22:30:01,673] INFO [broker-2-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.673658365Z [2026-09-25 22:30:01,673] INFO [broker-2-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.674644328Z [2026-09-25 22:30:01,674] INFO [broker-2-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.675612761Z [2026-09-25 22:30:01,675] INFO [broker-2-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.709980190Z [2026-09-25 22:30:01,709] INFO [BrokerServer id=2] Waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka2  | 2026-09-25T22:30:01.710002521Z [2026-09-25 22:30:01,709] INFO [BrokerServer id=2] Finished waiting for controller quorum voters future (kafka.server.BrokerServer)
kafka2  | 2026-09-25T22:30:01.713756144Z [2026-09-25 22:30:01,713] INFO [broker-2-to-controller-forwarding-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka2  | 2026-09-25T22:30:01.720396598Z [2026-09-25 22:30:01,719] INFO [MetadataLoader id=2] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka2  | 2026-09-25T22:30:01.806756527Z [2026-09-25 22:30:01,805] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka1  | 2026-09-25T22:30:02.280495601Z [2026-09-25 22:30:02,280] INFO [BrokerServer id=1] Finished waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
kafka1  | 2026-09-25T22:30:02.280498063Z [2026-09-25 22:30:02,280] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:02.280499872Z [2026-09-25 22:30:02,280] INFO [BrokerServer id=1] Waiting for the controller to acknowledge that we are caught up (kafka.server.BrokerServer)
kafka1  | 2026-09-25T22:30:02.381372708Z [2026-09-25 22:30:02,380] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:02.481746726Z [2026-09-25 22:30:02,481] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:02.582377921Z [2026-09-25 22:30:02,581] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
